Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2017,JULY/AUGUST,MISSISSIPPI,BLUEFISH,1347,103.6,0%
FINAL,2017,SEPTEMBER/OCTOBER,ALABAMA,BLUEFISH,6112,79.6,0%
FINAL,2017,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,52629,52.4,0%
FINAL,2017,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,78330,37.6,0%
FINAL,2018,JANUARY/FEBRUARY,ALABAMA,BLUEFISH,29,144.1,0%
FINAL,2018,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,8110,61.7,0%
FINAL,2018,MARCH/APRIL,FLORIDA,BLUEFISH,35854,42.3,0%
FINAL,2018,MAY/JUNE,ALABAMA,BLUEFISH,6299,57.2,0%
FINAL,2018,MAY/JUNE,FLORIDA,BLUEFISH,22349,46.4,0%
FINAL,2018,MAY/JUNE,MISSISSIPPI,BLUEFISH,22,108,0%
FINAL,2018,JULY/AUGUST,ALABAMA,BLUEFISH,21763,79.1,0%
FINAL,2018,JULY/AUGUST,FLORIDA,BLUEFISH,10550,57,0%
FINAL,2018,JULY/AUGUST,MISSISSIPPI,BLUEFISH,1417,99.4,0%
FINAL,2018,SEPTEMBER/OCTOBER,ALABAMA,BLUEFISH,64968,90.1,0%
FINAL,2018,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,7421,47.2,0%
FINAL,2018,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,13470,53.6,0%
FINAL,2019,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,40833,90.3,0%
FINAL,2019,MARCH/APRIL,ALABAMA,BLUEFISH,1696,78.9,0%
FINAL,2019,MARCH/APRIL,FLORIDA,BLUEFISH,19170,78.8,0%
FINAL,2019,MAY/JUNE,ALABAMA,BLUEFISH,237915,86.7,0%
FINAL,2019,MAY/JUNE,FLORIDA,BLUEFISH,30989,52.2,0%
FINAL,2019,JULY/AUGUST,ALABAMA,BLUEFISH,103558,68.1,0%
FINAL,2019,JULY/AUGUST,FLORIDA,BLUEFISH,33441,68.6,0%
FINAL,2019,JULY/AUGUST,MISSISSIPPI,BLUEFISH,2618,102.8,0%
FINAL,2019,SEPTEMBER/OCTOBER,ALABAMA,BLUEFISH,26888,86.5,0%
FINAL,2019,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,11,103.2,0%
FINAL,2019,SEPTEMBER/OCTOBER,MISSISSIPPI,BLUEFISH,524,101.8,0%
FINAL,2019,NOVEMBER/DECEMBER,ALABAMA,BLUEFISH,3275,90.8,0%
FINAL,2019,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,52011,59.7,0%
FINAL,2020,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,8090,79,0%
FINAL,2020,MARCH/APRIL,ALABAMA,BLUEFISH,512,98.3,100%
FINAL,2020,MARCH/APRIL,FLORIDA,BLUEFISH,12090,53.7,100%
FINAL,2020,MAY/JUNE,ALABAMA,BLUEFISH,57106,76.2,0%
FINAL,2020,MAY/JUNE,FLORIDA,BLUEFISH,33602,39,52%
FINAL,2020,MAY/JUNE,MISSISSIPPI,BLUEFISH,599,92.4,0%
FINAL,2020,JULY/AUGUST,ALABAMA,BLUEFISH,986571,49.3,0%
FINAL,2020,JULY/AUGUST,FLORIDA,BLUEFISH,9809,47.6,0%
FINAL,2020,SEPTEMBER/OCTOBER,ALABAMA,BLUEFISH,90,75.2,0%
FINAL,2020,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,24969,92,0%
FINAL,2020,SEPTEMBER/OCTOBER,MISSISSIPPI,BLUEFISH,645,98.5,0%
FINAL,2020,NOVEMBER/DECEMBER,ALABAMA,BLUEFISH,115,103.1,0%
FINAL,2020,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,20579,43.5,0%
PRELIMINARY,2021,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,21293,67.6,0%
